Event name;Distance;Origin time
S0152a;98.1;2019-05-02T07:19:39.0Z
S0421b;97.4;2020-02-02T16:42:22.0Z
S0167a;95.3;2019-05-17T16:33:30.3Z
S0226b;94.1;2019-07-17T05:28:10.9Z
S0345a;91.5;2019-11-16T11:52:20.0Z
S0395a;90.6;2020-01-06T22:19:23.5Z
S0254b;89.5;2019-08-15T02:50:39.0Z
S0133a;88.5;2019-04-12T18:00:05.1Z
S0234c;71.1;2019-07-25T12:45:12.9Z
S0185a;58.8;2019-06-05T02:07:01.0Z
S0183a;44.5;2019-06-03T02:21:56.0Z
S0205a;42.4;2019-06-25T17:04:17.0Z
S0325a;37.5;2019-10-26T06:54:00.1Z
S0357a;36.0;2019-11-28T19:20:23.0Z
S0189a;35.0;2019-06-09T05:35:50.6Z
S0154a;33.7;2019-05-04T07:03:39.0Z
S0323d;33.0;2019-10-25T00:19:29.0Z
S0320b;32.2;2019-10-21T20:11:04.0Z
S0484b;31.4;2020-04-07T08:48:03.0Z
S0423a;30.3;2020-02-04T15:18.29.0Z
S0407a;29.8;2020-01-19T09:53:42.0Z
S0105a;29.6;2019-03-14T20:59:27.0Z
S0290b;28.8;2019-09-21T03:15:46.8Z
S0173a;27.9;2019-05-23T02:19:17.4Z
S0409d;27.2;2020-01-21T11:27:43.0Z
S0235b;26.5;2019-07-26T12:15:36.7Z
